Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2773;expert;hemanth hari;2020;0;0;2;2962
2774;expert;slider;2016;0;1;2;2961
2775;master;Nikita Varganov;2016;2;7;3;2960
2776;expert;Shota;2019;0;1;1;2958
2777;expert;golubyatniks;2013;0;2;0;2957
2778;expert;yyui;2018;0;1;1;2954
2779;expert;Suuu;2019;0;1;2;2953
2780;master;Ireko8;2017;1;3;3;2950
2781;expert;guang wayne;2020;0;1;1;2947
2782;expert;kamesato;2018;0;1;2;2945
2783;expert;YIYANG HAO;2021;0;2;0;2945
2784;expert;Jun Liu;2017;0;2;4;2943
2785;master;Shijian Mao;2018;1;3;0;2941
2786;expert;Meet Ranoliya;2019;0;2;1;2941
2787;expert;Vatsal Parsaniya;2019;0;2;1;2941
2788;expert;Dongyao_Liu;2020;0;2;0;2941
2789;expert;daydaytrade;2021;0;2;0;2940
2790;expert;nbrosse;2018;0;2;0;2935
2791;master;Rand Xie;2015;1;6;5;2934
2792;expert;sogi;2018;0;0;2;2933
2793;expert;RichDundas;2019;0;0;2;2933
2794;expert;Daniel Lerch;2015;0;0;6;2931
2795;expert;Daniel Engelhardt;2018;0;1;1;2928
2796;expert;Yann Majewski;2020;0;1;1;2928
2797;expert;Holar;2017;0;1;2;2925
2798;expert;Alan Choon;2018;0;0;3;2923
2799;expert;Jordan;2019;0;2;1;2922
2800;master;FISH;2017;1;2;3;2921
2801;expert;Abhishek Prithvi Teja;2019;0;0;2;2920
2802;expert;???????????;2020;0;2;0;2920
2803;expert;Aman Deep Gupta;2020;0;2;0;2918
2804;master;Dimitris Leventis;2013;1;5;4;2916
2805;expert;JesseFo;2021;0;1;1;2911
2806;expert;Sebastian Moguilner;2019;0;2;0;2907
2807;expert;otto_sei;2017;0;0;2;2905
2808;master;Girma Kejela;2015;2;9;8;2903
2809;expert;Amogh;2018;0;1;1;2903
2810;master;Kruegger;2014;2;7;2;2902
2811;expert;Sergey Shtekhin;2017;0;1;2;2900
2812;expert;tdefoin;2017;0;1;1;2899
2813;expert;hihunjin;2020;0;2;0;2898
2814;expert;Zhe Liu UNSW;2020;0;1;3;2896
2815;expert;Ernesto Budia;2016;0;4;2;2895
2816;expert;Serge;2017;0;1;2;2893
2817;expert;ymgw55;2020;0;0;2;2893
2818;expert;hiroshi335;2020;0;0;3;2893
2819;master;Master;2017;1;5;3;2892
2820;master;Damon;2016;3;8;3;2891
2821;expert;DatacatSam;2020;0;1;2;2891
2822;master;Evgeny Nizhibitsky;2011;3;5;4;2890
2823;expert;il_buono;2014;0;4;4;2889
2824;expert;Ken At;2019;0;1;1;2888
2825;expert;Shao Eric;2019;0;0;2;2886
2826;expert;Ivan;2019;0;1;1;2886
2827;expert;Mark McClure;2015;0;0;2;2882
2828;expert;yimacs;2015;0;7;1;2881
2829;master;sumo;2013;2;5;2;2875
2830;expert;Nick Kuzmenkov;2021;0;1;1;2874
2831;expert;ArtemMerinov;2016;0;5;0;2873
2832;expert;mknzfr;2017;0;0;2;2873
2833;master;The16thRoute;2014;2;2;0;2872
2834;expert;dieselll3;2019;0;1;1;2872
